year,CO2,ERF_CO2,ERF_anthro,ERF_volc,ERF_natural,ERF_other_human,ERF_wmghg
2035,457.43848,2.673993738,4.374239845,0.038630025,0.078460677,-0.534379013,4.908618858
2036,460.5449,2.711167984,4.410200212,0.038630025,0.095527266,-0.524469742,4.934669954
2037,463.65366,2.748152555,4.445550108,0.038630025,0.078392419,-0.514695752,4.96024586
2038,466.77475,2.785067451,4.480492839,0.038630025,0.077705951,-0.50465577,4.985148609
2039,469.90573,2.821885106,4.515051473,0.038630025,0.053165716,-0.494893041,5.009944513
2040,473.05084,2.858655158,4.549341156,0.038630025,0.030036561,-0.485110063,5.034451219
2041,476.19916,2.895250951,4.582757969,0.038630025,0.009801815,-0.474022795,5.056780764
2042,479.3529,2.9317007,4.615684327,0.038630025,0.004230226,-0.46266208,5.078346406
2043,482.50177,2.967887289,4.647852131,0.038630025,0.006898225,-0.451442064,5.099294195
2044,485.6481,3.003841559,4.679306559,0.038630025,0.019313332,-0.440483087,5.119789646
2045,488.78375,3.03947398,4.709933449,0.038630025,0.055451394,-0.429671601,5.13960505
2046,491.91882,3.074903075,4.739890933,0.038630025,0.079994065,-0.41889451,5.158785443
2047,495.0508,3.110103058,4.769221521,0.038630025,0.107462508,-0.40808197,5.177303491
2048,498.1837,3.145121494,4.798065502,0.038630025,0.110096892,-0.397589582,5.195655085
2049,501.30774,3.179852813,4.82644026,0.038630025,0.08781107,-0.387024407,5.213464667
2050,504.43353,3.214416877,4.854535644,0.038630025,0.05328941,-0.376191567,5.23072721
2051,507.5557,3.248757833,4.882155885,0.038630025,0.036269769,-0.370439706,5.25259559
2052,510.6652,3.282778484,4.909352676,0.038630025,0.020597055,-0.364816751,5.274169427
2053,513.74005,3.316245989,4.935902168,0.038630025,0.009360297,-0.359008413,5.294910581
2054,516.7878,3.349249021,4.961816143,0.038630025,0.013666828,-0.353229491,5.315045634
2055,519.80725,3.381781029,4.987030053,0.038630025,0.0345817,-0.347586159,5.334616212
2056,522.80206,3.413888038,5.011578424,0.038630025,0.060472196,-0.342098196,5.35367662
2057,525.7628,3.445474576,5.035442456,0.038630025,0.061240793,-0.336410303,5.37185276
2058,528.6998,3.476657824,5.058793776,0.038630025,0.065528946,-0.330863981,5.389657757
2059,531.6109,3.507419027,5.081625668,0.038630025,0.068755959,-0.325384837,5.407010505
2060,534.499,3.53779599,5.104033558,0.038630025,0.047232115,-0.319639857,5.423673415
2061,537.354,3.567686217,5.127150946,0.038630025,0.028992074,-0.315425854,5.4425768
2062,540.1763,3.597100684,5.149857786,0.038630025,0.01399038,-0.311173127,5.461030913
2063,542.9552,3.625935415,5.172141215,0.038630025,0.00868571,-0.306640328,5.478781542
2064,545.69293,3.654219597,5.19399916,0.038630025,0.006724511,-0.302050604,5.496049763
2065,548.3813,3.681875641,5.215337715,0.038630025,0.013155129,-0.297762066,5.513099781
2066,551.0297,3.709008078,5.236192121,0.038630025,0.041730829,-0.29325596,5.529448081
2067,553.63605,3.735600527,5.25652461,0.038630025,0.067264714,-0.288930903,5.545455513
2068,556.20276,3.761684659,5.276411319,0.038630025,0.08141253,-0.284415159,5.560826478
2069,558.7239,3.787205407,5.295872579,0.038630025,0.075673088,-0.279758995,5.575631575
2070,561.2064,3.812239989,5.315017536,0.038630025,0.059887859,-0.275031614,5.59004915
2071,563.64667,3.83675627,5.334857695,0.038630025,0.037374974,-0.269449675,5.604307369
2072,566.0275,3.860588735,5.354152229,0.038630025,0.026480863,-0.263657026,5.617809255
2073,568.32526,3.883508169,5.372585502,0.038630025,0.018366579,-0.257902055,5.630487557
2074,570.5459,3.905584288,5.390184665,0.038630025,0.006536292,-0.251808537,5.641993203
2075,572.68787,3.926808763,5.406922121,0.038630025,0.001718189,-0.245546094,5.652468215
2076,574.7543,3.947220632,5.422812886,0.038630025,-0.003118904,-0.239519771,5.662332657
2077,576.73987,3.966774925,5.43780698,0.038630025,0.003240721,-0.233075554,5.670882534
2078,578.652,3.985552304,5.45193894,0.038630025,0.021142244,-0.226742458,5.678681398
2079,580.4891,4.003543666,5.4651998,0.038630025,0.040504238,-0.220419255,5.685619054
2080,582.25287,4.02077038,5.477630026,0.038630025,0.05411419,-0.213721098,5.691351124
2081,583.9373,4.037181681,5.488496743,0.038630025,0.055874961,-0.207161431,5.695658174
2082,585.5363,4.052723468,5.498558805,0.038630025,0.054791084,-0.200296452,5.698855256
2083,587.0376,4.067282528,5.507819696,0.038630025,0.040375629,-0.193184314,5.70100401
