,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59
2058,288.1475,288.0902,288.09247,287.9271,287.52206,288.02237,287.8598,288.3613,287.93582,288.03787,288.13477,288.1192,288.2812,288.02823,288.20547,288.03738,287.95123,288.17566,288.15457,288.17245,288.1238,287.76483,288.1682,288.05283,288.18857,288.05756,287.92392,288.06973,287.89365,287.98425,288.04465,288.1523,287.86768,288.0626,288.0958,288.1705,288.02008,287.91806,287.91257,288.066,288.178,288.09933,287.91202,288.12198,288.16727,288.0736,288.06772,288.0653,288.09106,287.6433,288.0438,288.23203,288.0476,288.18204,288.14316,288.16928,287.98523,288.09393,288.05365,287.99658
2059,288.13406,288.11218,288.09933,287.98907,287.69595,288.19348,288.02847,288.3662,287.90158,288.13483,287.9252,288.20535,288.3618,287.95392,288.32742,288.05496,288.14297,288.15842,288.21976,288.10068,288.3088,288.0698,288.27203,288.1182,288.3168,287.9879,288.02982,288.08374,288.04453,288.1409,288.00357,288.01364,287.62558,288.09735,288.02515,288.24142,288.0735,288.0687,287.8419,288.159,288.04404,288.21768,287.74078,288.235,288.16022,288.0812,287.95193,288.11276,288.0392,287.85477,288.05597,288.04922,288.0678,288.18155,288.1261,288.1693,287.72546,288.25406,288.01227,288.1555
2060,288.24023,288.14047,288.06186,288.11972,287.7838,288.28604,288.05606,288.13492,288.0743,287.9919,287.88272,288.27707,288.28717,288.11545,288.191,288.22546,288.20062,288.02417,288.21964,288.25623,288.04233,288.06668,288.26663,288.24323,288.28104,288.0651,288.1002,288.02774,288.1839,288.08627,288.04654,288.2253,287.77365,288.2783,288.13528,288.14224,288.00095,288.2813,287.97507,288.18243,288.11923,288.2763,287.98557,287.9832,288.08017,288.0856,288.0763,288.12988,288.18784,287.7998,288.07492,288.08353,288.2653,288.1431,288.2238,288.22864,287.434,288.36246,288.11264,288.21445
2061,288.34848,288.18414,288.23135,288.26862,287.84482,288.1493,288.04398,287.94284,288.04532,288.10495,288.0205,288.21378,288.32053,288.24292,288.07822,288.1086,288.27585,288.06296,288.2849,287.96167,288.12857,288.1294,288.14822,288.23422,288.18958,288.2883,288.0103,288.07443,288.20718,287.19333,288.18747,288.0847,287.8967,288.45718,288.33273,288.1094,288.1362,288.17166,288.03488,287.9833,288.12778,288.2064,288.05032,287.91382,288.2266,288.00815,288.00272,288.31216,288.14355,287.9201,287.95535,288.09756,288.2648,288.27795,288.08228,288.14166,287.53818,288.14975,288.22092,288.2677
2062,288.13644,288.28745,288.13846,288.02768,287.803,288.1865,288.01016,288.02756,288.00555,288.16165,288.11594,288.10898,288.36386,288.18216,288.1516,288.18396,288.13522,288.08698,288.28845,287.8929,288.15472,288.05893,288.27115,288.19955,288.10608,288.4887,288.02335,288.15253,288.09445,286.879,288.27527,288.10886,288.04764,288.3059,288.3076,288.15436,288.14368,287.97263,288.02573,287.85483,288.22546,288.20334,287.94315,288.03445,288.3054,288.1567,287.9349,288.22342,288.05627,288.06107,288.04257,288.02448,288.12256,288.2195,288.23703,288.10217,287.46973,288.1843,288.47772,288.14053
2063,288.10434,288.12778,288.20828,288.10184,287.99872,288.18436,288.10086,288.15152,288.01154,288.1171,288.16873,288.1997,288.2872,288.12747,288.10062,288.2181,288.1017,288.3264,288.28906,287.9979,288.1729,287.73135,288.28217,288.1346,288.13797,288.25558,288.05896,287.99286,288.12198,287.26968,288.19907,288.12964,288.10074,288.18478,288.1953,288.25,288.0674,288.17245,288.01553,287.86667,288.44333,288.16888,287.9409,288.05713,288.09317,288.23593,287.89642,288.24796,288.09863,288.10632,288.08548,287.9703,288.10193,288.2436,288.17313,288.2241,287.70517,288.1887,288.30453,288.12985
2064,288.0712,287.95676,288.2632,288.3411,288.14838,288.18546,288.10263,288.11728,288.11417,288.1744,288.14542,288.26126,288.1685,288.16147,287.9597,288.3162,288.23077,288.3032,288.2117,288.10977,288.1513,287.81168,288.29327,288.17386,288.1599,288.1201,288.066,287.9687,288.20364,287.53894,288.25528,288.27634,288.2314,288.14117,288.06665,288.21475,288.21622,288.37375,288.13495,288.09006,288.2544,288.31186,287.9809,288.16843,288.09918,288.29703,287.98917,288.13403,288.10233,288.00656,288.20062,288.18317,288.2443,288.31174,288.2383,288.35773,287.83328,288.2305,288.17416,288.2961
2065,288.21225,288.1152,288.16858,288.25272,288.17484,288.3462,288.1212,288.07773,288.1555,288.19284,288.1206,288.27255,288.3081,288.24258,288.11307,288.32376,288.1228,288.2573,288.32492,288.04422,288.21487,287.9191,288.40527,288.10684,288.44202,288.126,287.97568,287.94736,288.1178,287.66983,288.26053,288.20395,288.27914,288.19745,288.0597,288.11093,288.17465,288.51425,288.17297,288.0937,288.07385,288.37866,288.09494,288.40457,288.20157,288.32797,288.04398,288.26688,288.14902,288.14307,288.15952,288.37708,288.2402,288.3551,288.24728,288.1964,288.02164,288.24765,288.1826,288.21417
2066,288.27188,288.34085,288.2435,288.25613,288.2007,288.11746,288.0896,288.0914,288.27695,288.34433,288.2056,288.309,288.3222,288.32678,288.1477,288.24417,288.15604,288.36273,288.1743,288.05106,288.24838,287.99417,288.18643,288.2208,288.43674,288.23856,288.21155,288.01566,288.08646,287.77612,288.24783,288.15326,288.12912,288.05576,288.12216,288.28775,288.13187,288.45547,288.181,288.18842,288.01456,288.36526,288.2164,288.36536,288.27957,288.20303,288.20175,288.22708,288.28763,288.2601,288.14362,288.1749,288.27307,288.19406,288.17297,288.11435,288.11203,288.21066,288.23737,288.18048
2067,288.18945,288.27246,288.22928,287.9861,288.12485,288.29498,288.19202,288.07498,288.167,288.45248,288.23874,288.32758,288.39194,288.36673,288.07486,288.23157,288.1813,288.34897,288.31195,288.12076,288.27304,288.16876,288.26407,288.14117,288.2816,288.36798,288.13547,287.94757,288.24298,287.94797,288.20407,288.29752,288.06693,288.18204,288.1733,288.25168,288.25876,288.2089,288.24393,288.01886,288.24295,288.24808,288.30054,288.33182,288.2531,288.29465,288.2596,288.27716,288.25247,288.2648,288.20236,288.2253,288.28442,288.2974,288.21097,288.1352,288.16544,288.10416,288.43277,288.26868
2068,288.2179,288.2679,288.2863,288.01846,288.21878,288.45395,288.2383,288.2533,288.1524,288.29654,288.1993,288.38776,288.42798,288.21545,288.19193,288.233,288.24185,288.30322,288.36026,288.2418,288.15952,288.1478,288.12894,288.13095,288.26315,288.35922,288.2061,287.90234,288.3587,287.95383,288.26688,288.36792,288.24066,288.2208,288.3346,288.15405,288.32947,288.29456,288.2629,288.11826,288.51425,288.21872,288.16873,288.20676,288.33392,288.26486,288.16998,288.27588,288.2141,288.22214,288.3052,288.17648,288.22595,288.25256,288.35175,288.26035,288.1037,288.32956,288.24704,288.243
