,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
1876,286.86453,286.5369,286.7269,286.72635,286.4253,286.51852,286.55423,286.681,286.63614,286.8121,286.52713,286.80206,286.52188,286.75528,286.64035,286.82663,286.7424,286.56754,286.65686,286.58032,286.56927,286.62003,286.83762,286.48077,286.80026,286.5455,286.81033,286.567,286.7532,286.70273,286.72803,286.67664,286.68536,286.6314,286.52213,286.73795,286.57687,286.7982,286.59927,286.5544,286.62195,286.7877,286.60678,286.84576,286.45663,286.75345,286.6141,286.66965,286.59787,286.72946
1877,286.81955,286.64368,286.8195,286.68643,286.5029,286.45874,286.7885,286.59573,286.6105,286.76382,286.6014,286.80774,286.6592,286.75684,286.74207,286.7072,286.6533,286.66898,286.66733,286.6333,286.60156,286.6851,286.83542,286.73505,286.66437,286.7569,286.83334,286.4894,286.59763,286.92624,286.86862,286.70828,286.6218,286.51318,286.59818,286.60147,286.42972,286.59457,286.74802,286.71823,286.79068,286.8049,286.5874,286.6603,286.4539,286.6873,286.5958,286.65198,286.56924,286.63416
1878,286.5538,286.6066,286.82547,286.46213,286.71216,286.54327,286.5877,286.6024,286.42386,286.70963,286.6536,286.6589,286.5627,286.77954,286.7168,286.5316,286.57803,286.67703,286.64923,286.7745,286.56613,286.71323,286.7048,286.77396,286.85178,286.87317,286.80093,286.73178,286.56436,286.7689,286.67758,286.71292,286.56375,286.66928,286.56564,286.57913,286.58734,286.525,286.8267,286.67883,286.84122,286.83112,286.7658,286.5646,286.5124,286.90167,286.60248,286.83463,286.5707,286.8193
1879,286.53476,286.57794,286.67188,286.43686,286.69534,286.5916,286.55826,286.8265,286.49747,286.39944,286.74503,286.8035,286.5203,286.6019,286.6356,286.51996,286.56845,286.87466,286.7391,286.73486,286.7347,286.7161,286.66803,286.6856,286.86725,286.81546,286.7097,286.78043,286.64224,286.61118,286.78506,286.77475,286.7382,286.7905,286.56406,286.57883,286.47696,286.683,286.75443,286.60382,286.98172,286.6475,286.88635,286.70822,286.6697,286.88126,286.70923,286.87344,286.705,286.905
1880,286.51947,286.63638,286.57578,286.69418,286.50232,286.6522,286.59778,286.73257,286.60037,286.47488,286.65384,286.7979,286.60013,286.47287,286.55765,286.4503,286.7353,286.75577,286.5416,286.75528,286.53906,286.67133,286.66373,286.68277,286.72983,286.7133,286.65134,286.72485,286.68887,286.67258,286.58823,286.76917,286.79062,286.59152,286.38562,286.49042,286.5737,286.59995,286.6348,286.5874,286.8013,286.54868,286.59225,286.6619,286.73816,286.7183,286.77948,286.81717,286.5975,286.80106
1881,286.62894,286.69952,286.62213,286.50748,286.67374,286.77414,286.65573,286.68243,286.71927,286.5987,286.60532,286.80203,286.741,286.59024,286.5613,286.55392,286.83762,286.64114,286.57425,286.8055,286.6794,286.88498,286.66492,286.82632,286.66928,286.7379,286.6215,286.58438,286.60233,286.62363,286.70465,286.69186,286.87335,286.5373,286.28598,286.64908,286.6811,286.72247,286.5744,286.53107,286.59555,286.67355,286.67886,286.4511,286.6609,286.69235,286.71756,286.75198,286.59842,286.66592
1882,286.61777,286.70676,286.61832,286.48407,286.75815,286.80106,286.7824,286.59293,286.9145,286.59125,286.5859,286.82587,286.75827,286.68683,286.54132,286.6795,286.81604,286.69382,286.59665,286.71426,286.7039,286.88467,286.7601,286.63373,286.66196,286.60995,286.7065,286.70926,286.69922,286.6005,286.8506,286.8864,286.8003,286.4882,286.59692,286.7477,286.48633,286.78546,286.75217,286.50522,286.77005,286.76132,286.65378,286.50192,286.8571,286.70627,286.7098,286.67285,286.72388,286.712
1883,286.48196,286.67874,286.8076,286.5732,286.80057,286.60406,286.92828,286.51962,286.76108,286.48624,286.66394,286.66312,286.7505,286.8262,286.7112,286.64862,286.61215,286.70523,286.53085,286.39206,286.7169,286.66046,286.55978,286.64645,286.5941,286.5425,286.70535,286.7513,286.5741,286.60965,286.78775,286.9073,286.74088,286.46573,286.4963,286.67703,286.4322,286.76312,286.53098,286.53998,286.86063,286.6199,286.3842,286.72366,286.8005,286.7018,286.3942,286.61954,286.65125,286.78653
1884,286.34668,286.4684,286.50955,286.2872,286.37662,286.38052,286.29492,286.24045,286.27017,286.16193,286.36685,286.42252,286.3594,286.33597,286.3781,286.37558,286.35867,286.30566,286.25894,286.3168,286.46643,286.41333,286.40714,286.47366,286.4058,286.33463,286.335,286.61618,286.16992,286.41428,286.44022,286.66373,286.473,286.20337,286.24133,286.43445,286.26608,286.38193,286.21286,286.3901,286.33377,286.4211,286.26572,286.4211,286.42014,286.49088,286.12085,286.5532,286.31955,286.35355
1885,286.50513,286.54233,286.37943,286.45395,286.42355,286.53372,286.38065,286.3151,286.35608,286.47543,286.4155,286.51584,286.19376,286.40323,286.30954,286.38312,286.52625,286.31842,286.44144,286.51855,286.63477,286.50702,286.3506,286.46213,286.43915,286.6082,286.3513,286.43454,286.33292,286.49557,286.46628,286.47205,286.76666,286.42154,286.2721,286.55316,286.3854,286.4675,286.4199,286.59354,286.4092,286.55127,286.34167,286.47775,286.47946,286.57202,286.36465,286.70944,286.4537,286.33066
